频率 (Hz)	电平 (dB)
5.859375	-94.887390
11.718750	-92.364441
17.578125	-92.079788
23.437500	-93.723595
29.296875	-89.201347
35.156250	-83.123787
41.015625	-85.501442
46.875000	-85.524681
52.734375	-76.833534
58.593750	-70.042099
64.453125	-65.398270
70.312500	-56.722466
76.171875	-51.101177
82.031250	-51.224636
87.890625	-49.552586
93.750000	-42.033054
99.609375	-40.963581
105.468750	-51.177750
111.328125	-56.594620
117.187500	-53.559662
123.046875	-51.997887
128.906250	-52.197460
134.765625	-49.794548
140.625000	-52.284687
146.484375	-55.230045
152.343750	-53.126778
158.203125	-53.991463
164.062500	-56.507420
169.921875	-52.712460
175.781250	-49.005619
181.640625	-50.297089
187.500000	-42.503357
193.359375	-37.347534
199.218750	-39.506355
205.078125	-46.651875
210.937500	-53.395100
216.796875	-49.681931
222.656250	-50.857105
228.515625	-54.604740
234.375000	-54.759918
240.234375	-56.511307
246.093750	-55.283310
251.953125	-53.979195
257.812500	-56.676899
263.671875	-57.730854
269.531250	-53.210476
275.390625	-53.958324
281.250000	-49.959614
287.109375	-47.547390
292.968750	-50.983349
298.828125	-54.616100
304.687500	-56.397854
310.546875	-56.661671
316.406250	-60.678810
322.265625	-58.491348
328.125000	-58.137959
333.984375	-58.332329
339.843750	-57.935230
345.703125	-61.501369
351.562500	-60.243004
357.421875	-57.844387
363.281250	-58.573830
369.140625	-56.589565
375.000000	-56.793636
380.859375	-53.131744
386.718750	-47.600937
392.578125	-49.501732
398.437500	-57.014790
404.296875	-61.613838
410.156250	-64.080528
416.015625	-62.169682
421.875000	-62.876812
427.734375	-62.658302
433.593750	-63.452995
439.453125	-64.176247
445.312500	-64.964348
451.171875	-62.720901
457.031250	-61.088093
462.890625	-61.536568
468.750000	-58.924393
474.609375	-56.225666
480.468750	-53.926659
486.328125	-52.104645
492.187500	-55.822819
498.046875	-60.001698
503.906250	-58.820560
509.765625	-58.930565
515.625000	-60.543182
521.484375	-59.244484
527.343750	-59.274040
533.203125	-61.109989
539.062500	-60.289772
544.921875	-59.385742
550.781250	-60.210083
556.640625	-57.791527
562.500000	-57.374821
568.359375	-56.186081
574.218750	-56.199032
580.078125	-54.521389
585.937500	-52.578625
591.796875	-54.599407
597.656250	-58.415813
603.515625	-60.190830
609.375000	-59.739323
615.234375	-58.104866
621.093750	-59.791805
626.953125	-60.984089
632.812500	-60.971626
638.671875	-61.169521
644.531250	-57.384312
650.390625	-54.662228
656.250000	-54.740368
662.109375	-56.535072
667.968750	-56.485161
673.828125	-55.732883
679.687500	-53.575897
685.546875	-54.394840
691.406250	-57.874027
697.265625	-60.034637
703.125000	-60.460468
708.984375	-59.321804
714.843750	-59.911118
720.703125	-60.863796
726.562500	-60.630226
732.421875	-61.236763
738.281250	-62.721367
744.140625	-60.839336
750.000000	-57.588421
755.859375	-54.331764
761.718750	-54.114807
767.578125	-55.291996
773.437500	-56.242363
779.296875	-56.127159
785.156250	-59.237873
791.015625	-58.757679
796.875000	-58.567928
802.734375	-56.702343
808.593750	-56.595432
814.453125	-57.503124
820.312500	-59.790035
826.171875	-59.680378
832.031250	-60.009834
837.890625	-60.958401
843.750000	-58.357552
849.609375	-56.564220
855.468750	-59.073677
861.328125	-58.868656
867.187500	-56.911972
873.046875	-55.482883
878.906250	-55.041241
884.765625	-54.850872
890.625000	-57.819328
896.484375	-59.144676
902.343750	-58.924267
908.203125	-58.610039
914.062500	-59.518818
919.921875	-57.945122
925.781250	-57.380199
931.640625	-57.857491
937.500000	-59.207703
943.359375	-58.871284
949.218750	-57.368008
955.078125	-56.896435
960.937500	-56.552406
966.796875	-56.569305
972.656250	-56.756626
978.515625	-57.438908
984.375000	-60.021717
990.234375	-60.872402
996.093750	-59.255100
1001.953125	-60.570938
1007.812500	-61.246841
1013.671875	-61.112038
1019.531250	-61.107269
1025.390625	-60.224419
1031.250000	-58.474655
1037.109375	-57.147469
1042.968750	-56.608654
1048.828125	-55.016701
1054.687500	-57.322536
1060.546875	-58.205853
1066.406250	-55.265724
1072.265625	-55.297333
1078.125000	-58.520916
1083.984375	-57.141678
1089.843750	-55.735260
1095.703125	-57.928150
1101.562500	-58.746178
1107.421875	-59.194664
1113.281250	-59.378822
1119.140625	-59.015121
1125.000000	-59.059521
1130.859375	-59.406929
1136.718750	-58.744354
1142.578125	-57.885040
1148.437500	-57.561508
1154.296875	-57.988007
1160.156250	-59.326866
1166.015625	-57.977894
1171.875000	-56.460506
1177.734375	-57.889194
1183.593750	-59.258423
1189.453125	-59.554375
1195.312500	-60.625671
1201.171875	-61.165180
1207.031250	-59.342850
1212.890625	-59.199375
1218.750000	-58.376743
1224.609375	-57.373135
1230.468750	-59.847855
1236.328125	-58.734699
1242.187500	-58.056175
1248.046875	-58.530186
1253.906250	-56.661404
1259.765625	-56.289066
1265.625000	-57.689041
1271.484375	-57.730026
1277.343750	-58.885357
1283.203125	-59.449654
1289.062500	-59.354507
1294.921875	-59.475266
1300.781250	-59.052017
1306.640625	-58.276379
1312.500000	-58.813087
1318.359375	-59.496353
1324.218750	-59.252609
1330.078125	-59.360146
1335.937500	-58.116684
1341.796875	-57.190929
1347.656250	-58.910492
1353.515625	-58.449398
1359.375000	-56.137360
1365.234375	-56.946472
1371.093750	-59.406605
1376.953125	-60.315460
1382.812500	-59.580036
1388.671875	-58.684063
1394.531250	-59.493492
1400.390625	-59.102932
1406.250000	-59.346012
1412.109375	-59.792301
1417.968750	-59.838039
1423.828125	-60.142273
1429.687500	-60.282070
1435.546875	-61.560947
1441.406250	-60.902172
1447.265625	-58.242565
1453.125000	-58.743671
1458.984375	-58.488499
1464.843750	-59.653671
1470.703125	-59.441891
1476.562500	-58.389225
1482.421875	-58.860237
1488.281250	-58.526054
1494.140625	-58.435478
1500.000000	-57.482410
1505.859375	-57.357216
1511.718750	-57.986752
1517.578125	-59.153965
1523.437500	-60.570179
1529.296875	-58.983467
1535.156250	-59.008949
1541.015625	-57.814934
1546.875000	-56.766644
1552.734375	-57.147484
1558.593750	-57.571487
1564.453125	-57.868046
1570.312500	-59.304176
1576.171875	-58.225307
1582.031250	-57.769531
1587.890625	-58.147499
1593.750000	-59.695187
1599.609375	-60.638561
1605.468750	-61.412769
1611.328125	-59.801685
1617.187500	-57.931953
1623.046875	-57.737976
1628.906250	-58.573334
1634.765625	-58.183006
1640.625000	-57.513466
1646.484375	-56.537086
1652.343750	-55.221649
1658.203125	-57.654243
1664.062500	-57.582829
1669.921875	-57.196617
1675.781250	-57.336323
1681.640625	-58.201710
1687.500000	-58.581707
1693.359375	-57.799721
1699.218750	-57.129581
1705.078125	-57.092354
1710.937500	-57.232594
1716.796875	-59.001930
1722.656250	-60.148678
1728.515625	-58.729237
1734.375000	-57.181778
1740.234375	-55.579163
1746.093750	-54.130344
1751.953125	-54.471546
1757.812500	-56.632332
1763.671875	-57.715649
1769.531250	-57.560333
1775.390625	-57.495617
1781.250000	-57.254887
1787.109375	-56.465672
1792.968750	-57.199589
1798.828125	-58.450130
1804.687500	-58.662865
1810.546875	-57.852470
1816.406250	-57.501492
1822.265625	-56.883133
1828.125000	-57.512707
1833.984375	-59.160938
1839.843750	-58.044056
1845.703125	-54.273296
1851.562500	-53.840412
1857.421875	-58.060860
1863.281250	-57.931549
1869.140625	-58.425686
1875.000000	-58.681725
1880.859375	-58.036339
1886.718750	-58.458546
1892.578125	-59.332241
1898.437500	-59.167362
1904.296875	-57.927055
1910.156250	-57.952290
1916.015625	-57.773434
1921.875000	-56.929764
1927.734375	-57.029957
1933.593750	-57.272453
1939.453125	-56.252804
1945.312500	-56.039200
1951.171875	-56.927284
1957.031250	-57.070541
1962.890625	-57.007904
1968.750000	-57.828667
1974.609375	-58.469868
1980.468750	-58.518375
1986.328125	-59.265728
1992.187500	-58.005672
1998.046875	-56.770454
2003.906250	-57.425014
2009.765625	-57.257965
2015.625000	-57.990406
2021.484375	-57.389397
2027.343750	-56.134449
2033.203125	-56.015728
2039.062500	-56.066307
2044.921875	-57.347664
2050.781250	-56.515331
2056.640625	-56.860447
2062.500000	-56.834686
2068.359375	-57.939655
2074.218750	-58.266609
2080.078125	-59.265232
2085.937500	-58.163177
2091.796875	-57.573650
2097.656250	-58.375286
2103.515625	-57.835201
2109.375000	-57.635609
2115.234375	-57.561142
2121.093750	-56.797333
2126.953125	-56.794975
2132.812500	-57.319477
2138.671875	-58.620277
2144.531250	-58.839260
2150.390625	-57.417103
2156.250000	-57.040398
2162.109375	-57.175888
2167.968750	-57.990982
2173.828125	-57.652538
2179.687500	-56.690948
2185.546875	-57.010288
2191.406250	-57.628643
