频率 (Hz)	电平 (dB)
5.859375	-89.802872
11.718750	-94.197426
17.578125	-96.467407
23.437500	-99.322960
29.296875	-98.613022
35.156250	-96.718124
41.015625	-91.213470
46.875000	-83.084343
52.734375	-75.230972
58.593750	-68.951714
64.453125	-66.310303
70.312500	-62.430386
76.171875	-59.653210
82.031250	-57.458282
87.890625	-54.967190
93.750000	-58.494186
99.609375	-59.079163
105.468750	-62.086800
111.328125	-63.297478
117.187500	-63.883297
123.046875	-62.703697
128.906250	-61.601940
134.765625	-63.163025
140.625000	-64.285995
146.484375	-65.211433
152.343750	-65.076805
158.203125	-66.917358
164.062500	-67.889046
169.921875	-55.557407
175.781250	-51.259922
181.640625	-58.081280
187.500000	-68.486282
193.359375	-62.290413
199.218750	-55.730415
205.078125	-58.899227
210.937500	-62.966984
216.796875	-62.832794
222.656250	-66.738579
228.515625	-68.504578
234.375000	-68.729546
240.234375	-68.595787
246.093750	-68.533318
251.953125	-66.032974
257.812500	-57.742157
263.671875	-55.297764
269.531250	-63.426708
275.390625	-66.307655
281.250000	-63.244278
287.109375	-65.630859
292.968750	-69.695999
298.828125	-68.483498
304.687500	-65.652107
310.546875	-63.957821
316.406250	-65.558617
322.265625	-69.521820
328.125000	-67.417007
333.984375	-67.236679
339.843750	-64.741402
345.703125	-62.229012
351.562500	-63.806755
357.421875	-67.710243
363.281250	-65.998344
369.140625	-68.156616
375.000000	-71.201454
380.859375	-68.017052
386.718750	-67.565987
392.578125	-69.753929
398.437500	-62.231010
404.296875	-63.443592
410.156250	-68.092018
416.015625	-68.735458
421.875000	-70.864250
427.734375	-67.315628
433.593750	-56.830811
439.453125	-54.394836
445.312500	-61.971859
451.171875	-69.249283
457.031250	-68.485474
462.890625	-67.825310
468.750000	-67.170502
474.609375	-68.780334
480.468750	-68.204948
486.328125	-68.056610
492.187500	-67.764885
498.046875	-66.127167
503.906250	-67.829941
509.765625	-66.472443
515.625000	-66.434891
521.484375	-62.728710
527.343750	-62.302593
533.203125	-68.333755
539.062500	-68.478836
544.921875	-66.025215
550.781250	-64.619469
556.640625	-66.830544
562.500000	-68.414703
568.359375	-68.175232
574.218750	-67.206650
580.078125	-68.571144
585.937500	-69.374397
591.796875	-69.762299
597.656250	-69.832489
603.515625	-70.033058
609.375000	-64.137711
615.234375	-62.000656
621.093750	-65.171280
626.953125	-67.953903
632.812500	-68.346115
638.671875	-66.896500
644.531250	-67.110031
650.390625	-66.000923
656.250000	-67.222710
662.109375	-69.164444
667.968750	-69.005730
673.828125	-70.967255
679.687500	-67.385780
685.546875	-66.185287
691.406250	-68.375229
697.265625	-63.682808
703.125000	-64.341614
708.984375	-69.948738
714.843750	-71.202751
720.703125	-70.813141
726.562500	-68.207214
732.421875	-67.211693
738.281250	-67.954475
744.140625	-69.878128
750.000000	-69.222351
755.859375	-68.537636
761.718750	-69.017639
767.578125	-66.063400
773.437500	-67.484612
779.296875	-69.991974
785.156250	-66.502960
791.015625	-65.958595
796.875000	-65.139153
802.734375	-64.174911
808.593750	-65.958031
814.453125	-66.868057
820.312500	-67.446732
826.171875	-67.588829
832.031250	-67.752937
837.890625	-69.154610
843.750000	-67.174179
849.609375	-66.959991
855.468750	-67.227325
861.328125	-66.901932
867.187500	-64.445877
873.046875	-63.740116
878.906250	-63.101376
884.765625	-65.912560
890.625000	-67.795639
896.484375	-67.334282
902.343750	-68.264702
908.203125	-67.962624
914.062500	-69.612419
919.921875	-68.830376
925.781250	-63.956848
931.640625	-63.755882
937.500000	-66.737396
943.359375	-65.380554
949.218750	-66.764832
955.078125	-66.838570
960.937500	-63.413918
966.796875	-64.395645
972.656250	-67.954460
978.515625	-66.749977
984.375000	-65.680176
990.234375	-65.301155
996.093750	-64.389206
1001.953125	-66.277000
1007.812500	-69.714401
1013.671875	-66.070816
1019.531250	-64.223137
1025.390625	-64.407654
1031.250000	-66.444168
1037.109375	-63.689987
1042.968750	-61.841213
1048.828125	-60.920738
1054.687500	-63.303337
1060.546875	-65.711800
1066.406250	-66.205513
1072.265625	-66.656784
1078.125000	-64.629669
1083.984375	-63.736767
1089.843750	-66.150398
1095.703125	-67.989532
1101.562500	-70.367035
1107.421875	-67.676842
1113.281250	-65.326698
1119.140625	-64.274574
1125.000000	-66.580666
1130.859375	-66.949852
1136.718750	-63.675861
1142.578125	-62.973316
1148.437500	-65.786812
1154.296875	-66.163589
1160.156250	-66.375504
1166.015625	-66.651520
1171.875000	-66.876038
1177.734375	-66.717598
1183.593750	-66.596054
1189.453125	-66.572144
1195.312500	-67.307625
1201.171875	-66.601707
1207.031250	-65.634529
1212.890625	-65.352051
1218.750000	-64.219955
1224.609375	-62.223392
1230.468750	-64.498650
1236.328125	-67.551437
1242.187500	-66.079048
1248.046875	-65.265160
1253.906250	-63.944775
1259.765625	-63.770832
1265.625000	-66.455307
1271.484375	-66.981812
1277.343750	-65.500626
1283.203125	-65.721024
1289.062500	-65.711525
1294.921875	-65.753571
1300.781250	-66.604485
1306.640625	-64.331528
1312.500000	-63.400063
1318.359375	-63.595493
1324.218750	-65.479042
1330.078125	-66.393982
1335.937500	-66.578880
1341.796875	-66.940643
1347.656250	-66.483688
1353.515625	-65.291466
1359.375000	-67.034874
1365.234375	-66.462646
1371.093750	-66.996330
1376.953125	-65.773842
1382.812500	-64.548553
1388.671875	-64.841957
1394.531250	-64.895569
1400.390625	-64.977570
1406.250000	-64.688232
1412.109375	-65.040222
1417.968750	-64.733795
1423.828125	-66.268753
1429.687500	-68.690201
1435.546875	-67.763855
1441.406250	-67.591675
1447.265625	-65.838364
1453.125000	-64.303375
1458.984375	-62.517994
1464.843750	-63.684826
1470.703125	-66.892723
1476.562500	-68.347336
1482.421875	-62.402809
1488.281250	-58.375336
1494.140625	-62.509819
1500.000000	-66.308220
1505.859375	-64.847244
1511.718750	-66.164955
1517.578125	-67.039673
1523.437500	-67.158936
1529.296875	-68.221634
1535.156250	-65.860123
1541.015625	-64.850365
1546.875000	-67.088089
1552.734375	-65.956596
1558.593750	-64.317535
1564.453125	-65.961639
1570.312500	-66.986534
1576.171875	-66.112808
1582.031250	-65.137138
1587.890625	-65.644699
1593.750000	-66.712006
1599.609375	-66.275757
1605.468750	-64.715126
1611.328125	-64.685928
1617.187500	-68.995773
1623.046875	-67.033340
1628.906250	-65.219460
1634.765625	-65.667053
1640.625000	-66.313644
1646.484375	-67.247978
1652.343750	-64.473404
1658.203125	-62.736759
1664.062500	-63.298386
1669.921875	-64.507530
1675.781250	-66.441048
1681.640625	-67.394836
1687.500000	-67.014893
1693.359375	-65.795792
1699.218750	-64.800034
1705.078125	-67.023842
1710.937500	-66.706390
1716.796875	-66.426682
1722.656250	-66.427643
1728.515625	-68.459961
1734.375000	-68.033768
1740.234375	-66.306297
1746.093750	-63.224056
1751.953125	-61.897480
1757.812500	-65.818443
1763.671875	-66.860237
1769.531250	-67.022514
1775.390625	-68.386086
1781.250000	-63.031536
1787.109375	-62.872799
1792.968750	-67.385551
1798.828125	-66.446762
1804.687500	-66.596436
1810.546875	-65.971756
1816.406250	-65.891785
1822.265625	-65.918167
1828.125000	-65.895737
1833.984375	-64.607742
1839.843750	-63.908031
1845.703125	-62.614830
1851.562500	-61.402298
1857.421875	-62.741051
1863.281250	-65.148918
1869.140625	-67.115570
1875.000000	-68.749680
1880.859375	-67.688446
1886.718750	-67.716301
1892.578125	-67.364517
1898.437500	-67.327133
1904.296875	-65.966354
1910.156250	-66.955887
1916.015625	-68.729370
1921.875000	-67.775574
1927.734375	-67.189796
1933.593750	-68.731621
1939.453125	-68.219986
1945.312500	-68.141396
1951.171875	-68.698067
1957.031250	-68.147713
1962.890625	-68.705544
1968.750000	-70.215034
1974.609375	-66.485313
1980.468750	-66.518967
1986.328125	-69.405617
1992.187500	-68.377716
1998.046875	-67.767975
2003.906250	-68.962479
2009.765625	-68.303131
2015.625000	-67.910172
2021.484375	-69.998398
2027.343750	-68.119545
2033.203125	-68.778351
2039.062500	-66.990631
2044.921875	-66.370880
2050.781250	-69.322212
2056.640625	-69.528221
2062.500000	-68.477875
2068.359375	-68.091164
2074.218750	-69.232452
2080.078125	-69.731064
2085.937500	-69.667656
2091.796875	-67.890213
2097.656250	-66.620071
2103.515625	-67.431259
2109.375000	-68.178398
2115.234375	-66.712456
2121.093750	-66.440834
2126.953125	-67.839722
2132.812500	-69.041466
2138.671875	-66.933228
2144.531250	-68.375290
2150.390625	-68.802673
2156.250000	-69.735283
2162.109375	-69.238823
2167.968750	-69.588219
2173.828125	-68.298836
2179.687500	-67.745880
2185.546875	-67.433052
2191.406250	-67.631683
2197.265625	-68.733177
2203.125000	-70.347229
2208.984375	-69.922897
2214.843750	-68.521576
2220.703125	-66.694153
2226.562500	-65.806458
2232.421875	-69.058578
2238.281250	-69.531151
2244.140625	-68.863014
2250.000000	-68.401901
2255.859375	-67.777992
2261.718750	-68.060028
2267.578125	-68.290123
2273.437500	-68.019264
2279.296875	-68.796234
2285.156250	-68.211906
2291.015625	-67.401894
2296.875000	-68.270706
2302.734375	-69.692444
2308.593750	-69.511414
2314.453125	-70.979149
2320.312500	-71.451408
2326.171875	-69.778206
2332.031250	-69.431877
2337.890625	-69.664444
2343.750000	-67.397064
2349.609375	-68.485283
2355.468750	-67.651031
2361.328125	-69.356873
2367.187500	-70.405037
2373.046875	-69.993423
2378.906250	-68.623787
2384.765625	-68.609634
2390.625000	-70.453781
2396.484375	-68.437881
2402.343750	-66.676224
2408.203125	-67.691063
2414.062500	-69.011375
2419.921875	-69.316673
2425.781250	-68.800804
2431.640625	-66.641960
2437.500000	-68.348747
2443.359375	-71.291664
2449.218750	-70.228340
2455.078125	-70.315575
2460.937500	-69.815933
2466.796875	-70.493401
2472.656250	-69.189636
2478.515625	-68.338661
2484.375000	-69.196800
2490.234375	-70.395782
2496.093750	-70.918045
2501.953125	-71.132263
2507.812500	-71.449722
2513.671875	-72.068665
2519.531250	-70.607468
2525.390625	-69.118774
2531.250000	-68.962379
2537.109375	-69.160751
2542.968750	-69.981781
2548.828125	-71.661438
2554.687500	-71.486671
2560.546875	-72.077316
2566.406250	-70.605080
2572.265625	-70.535500
2578.125000	-70.863274
2583.984375	-70.391853
2589.843750	-70.066750
2595.703125	-71.305710
2601.562500	-71.491074
2607.421875	-70.619217
2613.281250	-72.132034
2619.140625	-71.972321
2625.000000	-70.383812
2630.859375	-71.743179
2636.718750	-72.427696
2642.578125	-72.355736
2648.437500	-73.670914
2654.296875	-73.277359
2660.156250	-72.319450
2666.015625	-71.795235
2671.875000	-72.134476
2677.734375	-70.388275
2683.593750	-71.271950
2689.453125	-72.148170
2695.312500	-72.102570
2701.171875	-70.844971
2707.031250	-72.808350
2712.890625	-72.045326
2718.750000	-72.563705
2724.609375	-73.756721
2730.468750	-72.043846
2736.328125	-71.766342
2742.187500	-72.203995
2748.046875	-72.713768
2753.906250	-71.276695
2759.765625	-70.075020
2765.625000	-70.275955
2771.484375	-70.147812
2777.343750	-72.644310
2783.203125	-74.206184
2789.062500	-74.172325
2794.921875	-73.554169
2800.781250	-71.955917
2806.640625	-71.857391
2812.500000	-72.354279
2818.359375	-71.435165
2824.218750	-72.648399
2830.078125	-73.083122
2835.937500	-73.242722
2841.796875	-72.976845
2847.656250	-71.715607
2853.515625	-71.955696
2859.375000	-71.878769
2865.234375	-71.919685
2871.093750	-73.288689
2876.953125	-73.739693
2882.812500	-72.831993
2888.671875	-73.914612
2894.531250	-71.905045
2900.390625	-72.283722
2906.250000	-73.558807
2912.109375	-73.505196
2917.968750	-73.785271
2923.828125	-74.482704
2929.687500	-72.566925
2935.546875	-71.009888
2941.406250	-70.683914
2947.265625	-70.988899
2953.125000	-71.520645
2958.984375	-73.020569
2964.843750	-73.491875
2970.703125	-73.015259
2976.562500	-72.041237
2982.421875	-70.805840
2988.281250	-70.884277
2994.140625	-71.414978
3000.000000	-72.107063
3005.859375	-71.206711
3011.718750	-69.877892
3017.578125	-68.958534
3023.437500	-68.969315
3029.296875	-69.404045
3035.156250	-70.854698
3041.015625	-70.866142
3046.875000	-70.682533
3052.734375	-71.152351
3058.593750	-72.630066
3064.453125	-71.617500
3070.312500	-70.680367
3076.171875	-70.943398
3082.031250	-70.394974
3087.890625	-72.584839
3093.750000	-74.501305
3099.609375	-73.169853
3105.468750	-73.347916
3111.328125	-73.459991
3117.187500	-72.579399
3123.046875	-70.913933
3128.906250	-71.091606
3134.765625	-73.549080
3140.625000	-72.833824
3146.484375	-72.057320
3152.343750	-71.714684
3158.203125	-72.789192
3164.062500	-73.528374
3169.921875	-72.307655
3175.781250	-72.038277
3181.640625	-71.587250
3187.500000	-72.067932
3193.359375	-74.000069
3199.218750	-74.232185
3205.078125	-73.905899
3210.937500	-75.715828
3216.796875	-76.511620
3222.656250	-75.364990
3228.515625	-74.523712
3234.375000	-74.912910
3240.234375	-74.570366
3246.093750	-74.589783
3251.953125	-74.968643
3257.812500	-72.132942
3263.671875	-71.894356
3269.531250	-73.197662
3275.390625	-73.337669
3281.250000	-74.246376
3287.109375	-75.088997
3292.968750	-75.314720
3298.828125	-74.180664
3304.687500	-75.432899
3310.546875	-75.688530
3316.406250	-73.979927
3322.265625	-73.707092
3328.125000	-72.973373
3333.984375	-73.115181
3339.843750	-72.420761
3345.703125	-74.414612
3351.562500	-75.412125
3357.421875	-74.180176
3363.281250	-72.651314
3369.140625	-72.650009
3375.000000	-74.196442
3380.859375	-75.665482
3386.718750	-74.707848
3392.578125	-73.919746
3398.437500	-74.205650
3404.296875	-74.756554
3410.156250	-73.850800
3416.015625	-72.451683
3421.875000	-71.767700
3427.734375	-71.646927
3433.593750	-73.750381
3439.453125	-74.395035
3445.312500	-74.101852
3451.171875	-74.277702
3457.031250	-74.660370
3462.890625	-75.307762
3468.750000	-75.302933
3474.609375	-75.959755
3480.468750	-75.189873
3486.328125	-74.996208
3492.187500	-75.022324
3498.046875	-75.229118
3503.906250	-74.456245
3509.765625	-74.257446
3515.625000	-74.685776
3521.484375	-74.569344
3527.343750	-75.156906
3533.203125	-75.308052
3539.062500	-75.606316
3544.921875	-74.965233
3550.781250	-74.101616
3556.640625	-74.305908
3562.500000	-74.772179
3568.359375	-75.408417
3574.218750	-75.223938
3580.078125	-74.527977
3585.937500	-73.993179
3591.796875	-75.287201
3597.656250	-75.684929
3603.515625	-74.929169
3609.375000	-74.335861
3615.234375	-74.433128
3621.093750	-74.871170
3626.953125	-76.135124
3632.812500	-76.806030
3638.671875	-76.472183
3644.531250	-76.415443
3650.390625	-75.334259
3656.250000	-75.371452
3662.109375	-75.172318
3667.968750	-73.496254
3673.828125	-74.196014
3679.687500	-75.776123
3685.546875	-77.782967
3691.406250	-75.191185
3697.265625	-74.792488
3703.125000	-75.300613
3708.984375	-74.520935
3714.843750	-75.049332
3720.703125	-76.772789
3726.562500	-78.063713
3732.421875	-78.199020
3738.281250	-78.080452
3744.140625	-78.225174
3750.000000	-78.207672
3755.859375	-78.245682
3761.718750	-77.526184
3767.578125	-77.625511
3773.437500	-78.722221
3779.296875	-77.767952
3785.156250	-76.687782
3791.015625	-77.614601
3796.875000	-77.031982
3802.734375	-76.656876
3808.593750	-78.360695
3814.453125	-78.814003
3820.312500	-79.659645
3826.171875	-79.662163
3832.031250	-78.326294
3837.890625	-78.362198
3843.750000	-78.043442
3849.609375	-78.706230
3855.468750	-79.806328
3861.328125	-78.305794
3867.187500	-78.385750
3873.046875	-79.409065
3878.906250	-78.688469
3884.765625	-78.368515
3890.625000	-78.554260
3896.484375	-78.024826
3902.343750	-78.114037
3908.203125	-79.098465
3914.062500	-78.967270
3919.921875	-77.849167
3925.781250	-79.017067
3931.640625	-78.073593
3937.500000	-77.007050
3943.359375	-76.288971
3949.218750	-77.286598
3955.078125	-76.952446
3960.937500	-77.080582
3966.796875	-76.614548
3972.656250	-77.547249
3978.515625	-77.402222
3984.375000	-79.006676
3990.234375	-79.225883
3996.093750	-78.289467
4001.953125	-78.331810
4007.812500	-78.098740
4013.671875	-78.144257
4019.531250	-77.624741
4025.390625	-77.663391
4031.250000	-80.544350
4037.109375	-79.956123
4042.968750	-77.829292
4048.828125	-79.106407
4054.687500	-78.522163
4060.546875	-79.084099
