频率 (Hz)	电平 (dB)
5.859375	-94.448402
11.718750	-99.860153
17.578125	-100.681877
23.437500	-98.896393
29.296875	-101.295280
35.156250	-99.099823
41.015625	-94.694176
46.875000	-87.412849
52.734375	-81.964226
58.593750	-75.077248
64.453125	-71.084145
70.312500	-59.658840
76.171875	-54.326805
82.031250	-59.821354
87.890625	-63.664921
93.750000	-64.128952
99.609375	-62.507458
105.468750	-65.184891
111.328125	-65.919289
117.187500	-67.113869
123.046875	-65.369926
128.906250	-65.199738
134.765625	-66.124962
140.625000	-67.296104
146.484375	-62.329884
152.343750	-58.174206
158.203125	-64.392830
164.062500	-72.097557
169.921875	-70.015167
175.781250	-68.080406
181.640625	-68.062950
187.500000	-72.174126
193.359375	-64.392052
199.218750	-58.302433
205.078125	-61.871704
210.937500	-65.493881
216.796875	-64.770607
222.656250	-59.561413
228.515625	-57.620121
234.375000	-64.709274
240.234375	-70.691605
246.093750	-70.823730
251.953125	-69.993973
257.812500	-68.907501
263.671875	-69.925423
269.531250	-71.496613
275.390625	-67.463699
281.250000	-65.041016
287.109375	-66.464600
292.968750	-69.727745
298.828125	-65.133636
304.687500	-61.543530
310.546875	-63.204536
316.406250	-67.821548
322.265625	-71.250511
328.125000	-66.667061
333.984375	-64.982056
339.843750	-68.583504
345.703125	-69.057976
351.562500	-72.610657
357.421875	-71.817604
363.281250	-67.743660
369.140625	-70.338463
375.000000	-65.867180
380.859375	-63.931450
386.718750	-68.964493
392.578125	-68.058212
398.437500	-62.059193
404.296875	-64.079880
410.156250	-68.380508
416.015625	-70.477516
421.875000	-72.901367
427.734375	-70.439781
433.593750	-67.902321
439.453125	-67.689056
445.312500	-68.495544
451.171875	-67.179558
457.031250	-65.872932
462.890625	-67.519783
468.750000	-69.110458
474.609375	-69.654648
480.468750	-70.280006
486.328125	-70.833435
492.187500	-69.528137
498.046875	-68.339455
503.906250	-70.129494
509.765625	-71.058495
515.625000	-71.082329
521.484375	-71.208008
527.343750	-68.786263
533.203125	-66.728745
539.062500	-68.716820
544.921875	-69.174706
550.781250	-67.931458
556.640625	-70.058136
562.500000	-71.275871
568.359375	-70.145760
574.218750	-68.875641
580.078125	-70.838760
585.937500	-73.173637
591.796875	-73.186096
597.656250	-71.568710
603.515625	-71.187172
609.375000	-71.974602
615.234375	-72.119431
621.093750	-71.213806
626.953125	-72.133492
632.812500	-72.290421
638.671875	-69.516403
644.531250	-69.534309
650.390625	-68.233147
656.250000	-70.047157
662.109375	-73.274208
667.968750	-72.292580
673.828125	-73.459732
679.687500	-70.270767
685.546875	-68.271500
691.406250	-69.317123
697.265625	-69.965919
703.125000	-71.233070
708.984375	-74.640800
714.843750	-75.275787
720.703125	-74.284058
726.562500	-74.419334
732.421875	-73.423019
738.281250	-73.109619
744.140625	-72.270935
750.000000	-69.503212
755.859375	-68.531685
761.718750	-70.451820
767.578125	-69.547798
773.437500	-71.731499
779.296875	-74.013649
785.156250	-73.261360
791.015625	-71.293854
796.875000	-71.737267
802.734375	-69.988274
808.593750	-69.599731
814.453125	-71.054649
820.312500	-68.526237
826.171875	-66.982758
832.031250	-67.572296
837.890625	-68.704208
843.750000	-68.611137
849.609375	-69.243927
855.468750	-71.321289
861.328125	-71.288605
867.187500	-71.730118
873.046875	-70.044022
878.906250	-68.408302
884.765625	-70.351768
890.625000	-72.119278
896.484375	-68.842636
902.343750	-67.458672
908.203125	-68.342148
914.062500	-69.465736
919.921875	-70.776253
925.781250	-69.302956
931.640625	-68.441147
937.500000	-69.011551
943.359375	-70.654831
949.218750	-70.697357
955.078125	-72.270821
960.937500	-70.775574
966.796875	-70.879990
972.656250	-72.596390
978.515625	-70.199753
984.375000	-67.631424
990.234375	-67.598740
996.093750	-69.138252
1001.953125	-69.766525
1007.812500	-71.470581
1013.671875	-67.968803
1019.531250	-66.216560
1025.390625	-68.844040
1031.250000	-71.083206
1037.109375	-66.900368
1042.968750	-65.890930
1048.828125	-67.479164
1054.687500	-67.475494
1060.546875	-66.491104
1066.406250	-69.006371
1072.265625	-69.117828
1078.125000	-67.328789
1083.984375	-67.193481
1089.843750	-68.865593
1095.703125	-69.975822
1101.562500	-72.060890
1107.421875	-70.022163
1113.281250	-68.908554
1119.140625	-68.501732
1125.000000	-68.296661
1130.859375	-68.515167
1136.718750	-66.245567
1142.578125	-67.414436
1148.437500	-68.376488
1154.296875	-68.387375
1160.156250	-68.353241
1166.015625	-69.780876
1171.875000	-69.841095
1177.734375	-69.474373
1183.593750	-68.692902
1189.453125	-70.393486
1195.312500	-71.458916
1201.171875	-67.752274
1207.031250	-66.832375
1212.890625	-66.446251
1218.750000	-65.712158
1224.609375	-66.458099
1230.468750	-68.055840
1236.328125	-69.603317
1242.187500	-69.045197
1248.046875	-68.380875
1253.906250	-68.638596
1259.765625	-68.571152
1265.625000	-69.817596
1271.484375	-70.581451
1277.343750	-69.427727
1283.203125	-68.407349
1289.062500	-68.058052
1294.921875	-69.522552
1300.781250	-70.453415
1306.640625	-70.074463
1312.500000	-68.929344
1318.359375	-67.489250
1324.218750	-69.514664
1330.078125	-69.965088
1335.937500	-70.279327
1341.796875	-69.874130
1347.656250	-67.548668
1353.515625	-64.848579
1359.375000	-66.164452
1365.234375	-67.546036
1371.093750	-68.706039
1376.953125	-67.640427
1382.812500	-66.993988
1388.671875	-68.648796
1394.531250	-68.681686
1400.390625	-68.546379
1406.250000	-68.875305
1412.109375	-68.627655
1417.968750	-68.208420
1423.828125	-67.747231
1429.687500	-69.137184
1435.546875	-69.702934
1441.406250	-66.975487
1447.265625	-66.945793
1453.125000	-67.631317
1458.984375	-65.850601
1464.843750	-65.969955
1470.703125	-69.056274
1476.562500	-71.111526
1482.421875	-72.501236
1488.281250	-68.563873
1494.140625	-67.904991
1500.000000	-67.226875
1505.859375	-67.209160
1511.718750	-68.564705
1517.578125	-66.097404
1523.437500	-66.618401
1529.296875	-71.242302
1535.156250	-70.711220
1541.015625	-71.455208
1546.875000	-72.480797
1552.734375	-72.294769
1558.593750	-72.267235
1564.453125	-72.361755
1570.312500	-72.286949
1576.171875	-71.739883
1582.031250	-69.528809
1587.890625	-70.383347
1593.750000	-69.918388
1599.609375	-69.227707
1605.468750	-69.741127
1611.328125	-71.652946
1617.187500	-70.712242
1623.046875	-70.418839
1628.906250	-70.516098
1634.765625	-69.571640
1640.625000	-71.699509
1646.484375	-71.244347
1652.343750	-69.527878
1658.203125	-70.837395
1664.062500	-70.568451
1669.921875	-69.984169
1675.781250	-70.226700
1681.640625	-70.446884
1687.500000	-69.457748
1693.359375	-69.826920
1699.218750	-69.696289
1705.078125	-70.365852
1710.937500	-70.973671
1716.796875	-71.780937
1722.656250	-71.478729
1728.515625	-73.881195
1734.375000	-72.128960
1740.234375	-71.712891
1746.093750	-72.806801
1751.953125	-72.402184
1757.812500	-72.527893
1763.671875	-71.927483
1769.531250	-72.234497
1775.390625	-72.494423
1781.250000	-69.964455
1787.109375	-69.664345
1792.968750	-71.007423
1798.828125	-71.119522
1804.687500	-70.842735
1810.546875	-70.931778
1816.406250	-72.024078
1822.265625	-70.386871
1828.125000	-68.844200
1833.984375	-70.034073
1839.843750	-69.623672
1845.703125	-67.223129
1851.562500	-67.651917
1857.421875	-71.124786
1863.281250	-71.658745
1869.140625	-71.347610
1875.000000	-70.209885
1880.859375	-69.180229
1886.718750	-71.356163
1892.578125	-70.773628
1898.437500	-71.362137
1904.296875	-71.469933
1910.156250	-71.532837
1916.015625	-72.313957
1921.875000	-72.451057
1927.734375	-73.201805
1933.593750	-73.677422
1939.453125	-73.003159
1945.312500	-71.851257
1951.171875	-72.687729
1957.031250	-72.316048
1962.890625	-73.100586
1968.750000	-73.340660
1974.609375	-71.359131
1980.468750	-71.571411
1986.328125	-72.484726
1992.187500	-71.248657
1998.046875	-70.408104
2003.906250	-71.427963
2009.765625	-72.127090
2015.625000	-72.203346
2021.484375	-72.325310
2027.343750	-72.784210
2033.203125	-73.804207
2039.062500	-71.679100
2044.921875	-71.500145
2050.781250	-70.928207
2056.640625	-71.544983
2062.500000	-71.908501
2068.359375	-72.126968
2074.218750	-72.498711
2080.078125	-72.718910
2085.937500	-71.638367
2091.796875	-71.797844
2097.656250	-72.122887
2103.515625	-71.284767
2109.375000	-72.103989
2115.234375	-71.174072
2121.093750	-71.579880
2126.953125	-71.715187
2132.812500	-71.649246
2138.671875	-70.855614
2144.531250	-71.389099
2150.390625	-71.421463
2156.250000	-71.817673
2162.109375	-71.773727
2167.968750	-72.525536
2173.828125	-72.500534
2179.687500	-70.606758
2185.546875	-71.431885
2191.406250	-72.587158
2197.265625	-73.231979
2203.125000	-73.500587
2208.984375	-73.666451
2214.843750	-73.414619
2220.703125	-72.825821
2226.562500	-72.027161
2232.421875	-72.938385
2238.281250	-72.640610
2244.140625	-70.759186
2250.000000	-70.516136
2255.859375	-71.792908
2261.718750	-71.945274
2267.578125	-72.510185
2273.437500	-72.531456
2279.296875	-73.166664
2285.156250	-71.689445
2291.015625	-71.151237
2296.875000	-71.800423
2302.734375	-73.078918
2308.593750	-73.209534
2314.453125	-73.510902
2320.312500	-73.808723
2326.171875	-71.995415
2332.031250	-72.387970
2337.890625	-72.616783
2343.750000	-71.759422
2349.609375	-73.030701
2355.468750	-72.672958
2361.328125	-74.080635
2367.187500	-74.974747
2373.046875	-72.482819
2378.906250	-72.775627
2384.765625	-72.886368
2390.625000	-72.800255
2396.484375	-71.552620
2402.343750	-71.193092
2408.203125	-72.003136
2414.062500	-72.853096
2419.921875	-73.333549
2425.781250	-74.030113
2431.640625	-73.415710
2437.500000	-73.371925
2443.359375	-74.245453
2449.218750	-74.229828
2455.078125	-73.343254
2460.937500	-73.686356
2466.796875	-73.775436
2472.656250	-72.307487
2478.515625	-72.094360
2484.375000	-73.476082
2490.234375	-73.809616
2496.093750	-74.619019
2501.953125	-74.326508
2507.812500	-74.128525
2513.671875	-73.786713
2519.531250	-73.468826
2525.390625	-72.102837
2531.250000	-73.075928
2537.109375	-73.501350
2542.968750	-73.551857
2548.828125	-73.732506
2554.687500	-75.636002
2560.546875	-76.003807
2566.406250	-74.561043
2572.265625	-74.150742
2578.125000	-74.994576
2583.984375	-74.587914
2589.843750	-74.283516
2595.703125	-75.093895
2601.562500	-75.565247
2607.421875	-75.436325
2613.281250	-75.716705
2619.140625	-76.557327
2625.000000	-76.909950
2630.859375	-75.370766
2636.718750	-77.525772
2642.578125	-78.280609
2648.437500	-77.063423
2654.296875	-76.682693
2660.156250	-76.056847
2666.015625	-75.712585
2671.875000	-76.895927
2677.734375	-76.701546
2683.593750	-77.103020
2689.453125	-78.678848
2695.312500	-78.569267
2701.171875	-77.829788
2707.031250	-77.269020
2712.890625	-75.703575
2718.750000	-75.912849
2724.609375	-77.682602
2730.468750	-76.627449
2736.328125	-76.237518
2742.187500	-78.167336
2748.046875	-77.482582
2753.906250	-75.842232
2759.765625	-76.330605
2765.625000	-76.713028
2771.484375	-77.137947
2777.343750	-77.969612
2783.203125	-79.163834
2789.062500	-79.196564
2794.921875	-79.054382
2800.781250	-76.981514
2806.640625	-75.324707
2812.500000	-76.011345
2818.359375	-75.197945
2824.218750	-74.679436
2830.078125	-76.653427
2835.937500	-77.054916
2841.796875	-77.443695
2847.656250	-76.248085
2853.515625	-75.187599
2859.375000	-76.555519
2865.234375	-77.903511
2871.093750	-78.152870
2876.953125	-77.881355
2882.812500	-76.788689
2888.671875	-77.259140
2894.531250	-77.678864
2900.390625	-76.825012
2906.250000	-76.160240
2912.109375	-76.770569
2917.968750	-78.372353
2923.828125	-78.877716
2929.687500	-77.855186
2935.546875	-77.405060
2941.406250	-76.788361
2947.265625	-76.422928
2953.125000	-76.405678
2958.984375	-78.433212
2964.843750	-78.303696
2970.703125	-76.823128
2976.562500	-74.698509
2982.421875	-75.317978
2988.281250	-75.318382
2994.140625	-75.968895
3000.000000	-76.929062
3005.859375	-75.577522
3011.718750	-74.663857
3017.578125	-74.651070
3023.437500	-75.758743
3029.296875	-75.475327
3035.156250	-74.777374
3041.015625	-74.673592
3046.875000	-76.091995
3052.734375	-76.330650
3058.593750	-77.417236
3064.453125	-76.356888
3070.312500	-76.040504
3076.171875	-76.056999
3082.031250	-77.340416
3087.890625	-77.611221
3093.750000	-77.339905
3099.609375	-77.574341
3105.468750	-78.123680
3111.328125	-77.574982
3117.187500	-77.314194
3123.046875	-77.201294
3128.906250	-76.407043
3134.765625	-76.950562
3140.625000	-77.275009
3146.484375	-78.888840
3152.343750	-79.228622
3158.203125	-78.881798
3164.062500	-79.563026
3169.921875	-79.056770
3175.781250	-78.212914
3181.640625	-77.431030
3187.500000	-78.170967
3193.359375	-79.483826
3199.218750	-78.860092
3205.078125	-78.184021
3210.937500	-79.295242
3216.796875	-80.687218
3222.656250	-80.145523
3228.515625	-78.435364
3234.375000	-78.665169
3240.234375	-80.560440
3246.093750	-79.320816
3251.953125	-79.865410
3257.812500	-78.551102
3263.671875	-78.006699
3269.531250	-79.152771
3275.390625	-79.101768
3281.250000	-78.458984
3287.109375	-78.553703
3292.968750	-79.227768
3298.828125	-79.125648
3304.687500	-80.229210
3310.546875	-79.524368
3316.406250	-78.998779
3322.265625	-79.137962
3328.125000	-80.465652
3333.984375	-79.396927
3339.843750	-78.860214
3345.703125	-79.433212
3351.562500	-79.670364
3357.421875	-79.471130
3363.281250	-78.842247
3369.140625	-78.753151
3375.000000	-80.258316
3380.859375	-80.366859
3386.718750	-78.808647
3392.578125	-77.968468
3398.437500	-78.841064
3404.296875	-79.839668
3410.156250	-79.970268
3416.015625	-78.887634
3421.875000	-77.519814
3427.734375	-77.267418
3433.593750	-77.997505
3439.453125	-78.781181
3445.312500	-79.666359
3451.171875	-81.000023
3457.031250	-81.435471
3462.890625	-80.366676
3468.750000	-79.529007
3474.609375	-80.050934
3480.468750	-80.234436
3486.328125	-80.046761
3492.187500	-80.025551
3498.046875	-80.468826
3503.906250	-81.001282
3509.765625	-80.566864
3515.625000	-81.043884
3521.484375	-81.362648
3527.343750	-81.037262
3533.203125	-81.216492
3539.062500	-81.105560
3544.921875	-80.075638
3550.781250	-79.716171
3556.640625	-79.900650
3562.500000	-79.334808
3568.359375	-80.730713
3574.218750	-81.921112
3580.078125	-81.088112
3585.937500	-80.572411
3591.796875	-81.017632
3597.656250	-81.229836
3603.515625	-81.554558
3609.375000	-80.960052
3615.234375	-80.724312
3621.093750	-80.252213
3626.953125	-79.937538
3632.812500	-81.208923
3638.671875	-82.137383
3644.531250	-82.155800
3650.390625	-81.839745
3656.250000	-82.791573
3662.109375	-81.980705
3667.968750	-80.382637
3673.828125	-80.231171
3679.687500	-82.457832
3685.546875	-82.782631
3691.406250	-80.499504
3697.265625	-79.256500
3703.125000	-80.214355
3708.984375	-80.499481
3714.843750	-81.437561
3720.703125	-82.365829
3726.562500	-83.248650
3732.421875	-84.019768
3738.281250	-84.214371
3744.140625	-82.963432
3750.000000	-82.206612
3755.859375	-83.247139
3761.718750	-83.635773
3767.578125	-83.455818
3773.437500	-82.621170
3779.296875	-83.908432
3785.156250	-83.815300
3791.015625	-83.102318
3796.875000	-81.973259
3802.734375	-82.414589
3808.593750	-83.177811
3814.453125	-83.325775
3820.312500	-83.050980
3826.171875	-83.765450
3832.031250	-82.701103
3837.890625	-82.568176
3843.750000	-82.303383
3849.609375	-83.397499
3855.468750	-83.384552
3861.328125	-82.540787
3867.187500	-83.091156
3873.046875	-82.374306
3878.906250	-81.559380
3884.765625	-82.723495
3890.625000	-83.835388
3896.484375	-83.044945
3902.343750	-83.714844
3908.203125	-83.303574
3914.062500	-84.984100
3919.921875	-84.195358
3925.781250	-83.478401
3931.640625	-82.744453
3937.500000	-82.433327
3943.359375	-83.001297
3949.218750	-85.013687
3955.078125	-84.358429
3960.937500	-84.287956
3966.796875	-83.662712
3972.656250	-82.529861
3978.515625	-83.372406
3984.375000	-83.963669
3990.234375	-83.835144
3996.093750	-83.291878
4001.953125	-84.211853
4007.812500	-84.566223
4013.671875	-85.217896
4019.531250	-85.262138
4025.390625	-83.779816
4031.250000	-83.836746
4037.109375	-84.076775
4042.968750	-83.860840
4048.828125	-83.982254
4054.687500	-83.641273
4060.546875	-84.361618
4066.406250	-84.038628
4072.265625	-84.333664
4078.125000	-82.627869
4083.984375	-82.673569
4089.843750	-84.472488
4095.703125	-84.953484
4101.562500	-85.283020
4107.421875	-86.024956
4113.281250	-84.458954
4119.140625	-83.623611
4125.000000	-83.653122
4130.859375	-83.142235
4136.718750	-83.425667
4142.578125	-83.713165
4148.437500	-85.119888
4154.296875	-86.452690
4160.156250	-86.138748
4166.015625	-86.581085
4171.875000	-85.812157
4177.734375	-86.646439
4183.593750	-86.019669
4189.453125	-86.705589
4195.312500	-87.546013
4201.171875	-85.628433
4207.031250	-85.732246
4212.890625	-86.201508
4218.750000	-85.748291
4224.609375	-85.589668
4230.468750	-86.204651
4236.328125	-86.186684
4242.187500	-85.364571
4248.046875	-85.345383
4253.906250	-86.049088
4259.765625	-86.358437
4265.625000	-86.236290
4271.484375	-85.461731
4277.343750	-86.217751
4283.203125	-86.255859
4289.062500	-86.602470
4294.921875	-86.713127
4300.781250	-86.388168
4306.640625	-85.714943
4312.500000	-85.985611
4318.359375	-87.167542
4324.218750	-87.012268
4330.078125	-85.810806
4335.937500	-86.589859
4341.796875	-86.096657
4347.656250	-86.782097
4353.515625	-87.510406
4359.375000	-86.734894
4365.234375	-85.265991
4371.093750	-84.571198
4376.953125	-85.118362
4382.812500	-85.505356
4388.671875	-86.263336
4394.531250	-86.880020
4400.390625	-86.049835
4406.250000	-85.646255
4412.109375	-85.264534
4417.968750	-86.014221
4423.828125	-87.276596
4429.687500	-87.479446
4435.546875	-87.250282
4441.406250	-85.989937
4447.265625	-85.305138
4453.125000	-86.106064
4458.984375	-86.252167
4464.843750	-86.124550
4470.703125	-85.587357
4476.562500	-85.239975
4482.421875	-85.261711
4488.281250	-84.439842
4494.140625	-83.301949
4500.000000	-82.480858
4505.859375	-82.931068
4511.718750	-83.600288
4517.578125	-83.642204
4523.437500	-83.875160
4529.296875	-83.920067
4535.156250	-82.806633
4541.015625	-81.993729
4546.875000	-83.259026
4552.734375	-83.636162
4558.593750	-83.478119
4564.453125	-84.139053
4570.312500	-83.283440
4576.171875	-81.752663
4582.031250	-81.790802
4587.890625	-83.043869
4593.750000	-83.741379
4599.609375	-82.635574
4605.468750	-81.679947
4611.328125	-82.191696
4617.187500	-82.719612
4623.046875	-83.658546
4628.906250	-83.222542
4634.765625	-83.572350
4640.625000	-82.494705
4646.484375	-84.055115
4652.343750	-84.839035
4658.203125	-84.040352
4664.062500	-83.119225
4669.921875	-83.373077
4675.781250	-83.233376
4681.640625	-83.282028
4687.500000	-82.679680
4693.359375	-83.345367
4699.218750	-83.216805
4705.078125	-82.916252
4710.937500	-84.818642
4716.796875	-83.848022
4722.656250	-82.899681
4728.515625	-83.748398
4734.375000	-84.724022
4740.234375	-83.813705
4746.093750	-83.545837
4751.953125	-84.258102
4757.812500	-85.193535
4763.671875	-86.660233
4769.531250	-86.725006
4775.390625	-86.601791
4781.250000	-86.223991
4787.109375	-84.874809
4792.968750	-85.866272
4798.828125	-86.262367
4804.687500	-86.380630
4810.546875	-84.252090
4816.406250	-83.395607
4822.265625	-84.431221
4828.125000	-86.008133
4833.984375	-86.273323
4839.843750	-86.386711
4845.703125	-86.936768
4851.562500	-86.512138
4857.421875	-85.572289
4863.281250	-84.321541
4869.140625	-85.364128
4875.000000	-86.308495
4880.859375	-87.041321
4886.718750	-86.080360
4892.578125	-85.198441
4898.437500	-87.503830
4904.296875	-87.294334
4910.156250	-86.180473
4916.015625	-86.192833
4921.875000	-86.431541
4927.734375	-86.392426
4933.593750	-86.912338
4939.453125	-86.340210
4945.312500	-85.564262
4951.171875	-86.613556
4957.031250	-86.700363
4962.890625	-86.365128
4968.750000	-86.052963
4974.609375	-85.590103
4980.468750	-85.042664
4986.328125	-84.232552
4992.187500	-84.757339
4998.046875	-86.204002
5003.906250	-84.644569
5009.765625	-85.108101
5015.625000	-84.992012
5021.484375	-84.560760
5027.343750	-85.388245
5033.203125	-86.770653
5039.062500	-87.134468
5044.921875	-85.891037
5050.781250	-85.123978
5056.640625	-86.135719
5062.500000	-86.475487
5068.359375	-86.374504
5074.218750	-87.204933
5080.078125	-86.899246
5085.937500	-86.523575
5091.796875	-87.105072
5097.656250	-86.308105
5103.515625	-86.357338
5109.375000	-86.175598
5115.234375	-86.529709
5121.093750	-86.257477
5126.953125	-86.280403
5132.812500	-87.351433
5138.671875	-87.196510
5144.531250	-86.389648
5150.390625	-85.857681
5156.250000	-85.306015
5162.109375	-85.989868
5167.968750	-86.107643
5173.828125	-86.641747
5179.687500	-86.834244
5185.546875	-86.284889
5191.406250	-85.483009
5197.265625	-85.952438
5203.125000	-87.024818
5208.984375	-87.898506
5214.843750	-87.235710
5220.703125	-86.906166
5226.562500	-86.699867
5232.421875	-85.336884
5238.281250	-86.011154
5244.140625	-87.832558
5250.000000	-87.437042
5255.859375	-86.532829
5261.718750	-87.154388
5267.578125	-86.514038
5273.437500	-85.301636
5279.296875	-85.288719
5285.156250	-85.480164
5291.015625	-86.002876
5296.875000	-85.774086
5302.734375	-85.003937
5308.593750	-85.291725
5314.453125	-85.642975
5320.312500	-85.501671
5326.171875	-85.130112
5332.031250	-85.861053
5337.890625	-85.837540
5343.750000	-85.782242
5349.609375	-85.887474
5355.468750	-85.855957
5361.328125	-85.772568
5367.187500	-85.322716
5373.046875	-84.666885
5378.906250	-84.647469
5384.765625	-85.312416
5390.625000	-85.073051
5396.484375	-84.433258
5402.343750	-85.269867
5408.203125	-86.486153
5414.062500	-87.155380
5419.921875	-88.592819
5425.781250	-89.457207
5431.640625	-88.708885
5437.500000	-89.042015
5443.359375	-88.723900
5449.218750	-88.286003
5455.078125	-88.331963
5460.937500	-89.081100
5466.796875	-89.626373
5472.656250	-88.215019
5478.515625	-88.234756
5484.375000	-88.926361
5490.234375	-88.257301
5496.093750	-88.453331
5501.953125	-88.631210
5507.812500	-89.151054
5513.671875	-89.857872
5519.531250	-89.118599
5525.390625	-88.306602
5531.250000	-88.339714
5537.109375	-87.672066
5542.968750	-87.979462
5548.828125	-88.695930
5554.687500	-88.767067
5560.546875	-88.792114
5566.406250	-88.310585
5572.265625	-87.763931
5578.125000	-88.698090
5583.984375	-87.909744
5589.843750	-88.134468
5595.703125	-88.922386
5601.562500	-89.508049
5607.421875	-89.125710
5613.281250	-89.219177
5619.140625	-88.258728
5625.000000	-88.345818
5630.859375	-88.530022
5636.718750	-89.359016
5642.578125	-88.705170
5648.437500	-87.936218
