频率 (Hz)	电平 (dB)
5.859375	-90.943954
11.718750	-96.217476
17.578125	-97.655472
23.437500	-99.227516
29.296875	-98.928406
35.156250	-95.825211
41.015625	-88.783485
46.875000	-82.576324
52.734375	-76.762161
58.593750	-72.446770
64.453125	-69.180672
70.312500	-64.627213
76.171875	-58.176762
82.031250	-58.392258
87.890625	-59.653458
93.750000	-53.540886
99.609375	-51.235321
105.468750	-56.297989
111.328125	-58.702202
117.187500	-59.745865
123.046875	-60.401787
128.906250	-61.786484
134.765625	-63.465004
140.625000	-62.838505
146.484375	-62.638279
152.343750	-62.367630
158.203125	-64.075386
164.062500	-64.910667
169.921875	-62.069691
175.781250	-58.964539
181.640625	-61.215382
187.500000	-63.610016
193.359375	-54.120457
199.218750	-51.434669
205.078125	-57.455254
210.937500	-61.781380
216.796875	-61.268383
222.656250	-63.008633
228.515625	-65.891426
234.375000	-65.916573
240.234375	-64.818443
246.093750	-65.139130
251.953125	-61.280087
257.812500	-61.296726
263.671875	-65.127258
269.531250	-65.056541
275.390625	-59.559990
281.250000	-57.541077
287.109375	-56.773773
292.968750	-54.217384
298.828125	-57.823177
304.687500	-61.604919
310.546875	-59.219070
316.406250	-61.203526
322.265625	-68.009216
328.125000	-63.794922
333.984375	-62.466740
339.843750	-64.553909
345.703125	-66.182396
351.562500	-68.534012
357.421875	-65.858040
363.281250	-64.463501
369.140625	-66.569229
375.000000	-67.561447
380.859375	-61.930553
386.718750	-55.205757
392.578125	-49.741547
398.437500	-53.113438
404.296875	-60.611691
410.156250	-62.289009
416.015625	-64.094200
421.875000	-69.499634
427.734375	-66.334976
433.593750	-63.193256
439.453125	-64.497169
445.312500	-67.178154
451.171875	-64.552025
457.031250	-64.305145
462.890625	-64.182816
468.750000	-60.661930
474.609375	-58.890430
480.468750	-58.411091
486.328125	-53.764660
492.187500	-51.289951
498.046875	-56.848148
503.906250	-62.076195
509.765625	-63.010723
515.625000	-63.777981
521.484375	-66.909386
527.343750	-65.582962
